date,quantity
10/2015,"39,555.000"
11/2015,"19,200.000"
12/2015,"35,400.000"
01/2016,"28,800.000"
02/2016,"25,200.000"
03/2016,"28,800.000"
04/2016,"26,000.000"
05/2016,"29,200.000"
06/2016,"28,000.000"
07/2016,"42,400.000"
08/2016,"36,800.000"
09/2016,"29,600.000"
10/2016,"36,266.667"
11/2016,"11,600.000"
12/2016,"71,600.000"
01/2017,"53,200.000"
02/2017,"38,000.000"
03/2017,"47,200.000"
04/2017,"60,600.000"
05/2017,"18,000.000"
06/2017,"30,000.000"
07/2017,"20,800.000"
08/2017,"69,600.000"
09/2017,"25,400.000"
10/2017,"37,600.000"
11/2017,"33,200.000"
12/2017,"49,200.000"
01/2018,"14,400.000"
02/2018,"45,600.000"
03/2018,"35,600.000"
04/2018,"26,400.000"
05/2018,"24,000.000"
06/2018,"50,800.000"
07/2018,"36,800.000"
08/2018,"20,400.000"
09/2018,"24,800.000"
10/2018,"4,400.000"
11/2018,"5,600.000"
12/2018,"48,000.000"
01/2019,"37,200.000"
02/2019,"18,000.000"
03/2019,"27,200.000"
04/2019,"35,892.000"
05/2019,"38,000.000"
06/2019,"43,600.000"
07/2019,"44,800.000"
08/2019,"34,400.000"
09/2019,"55,600.000"
10/2019,"52,400.000"
11/2019,"31,200.000"
12/2019,"19,600.000"
01/2020,"59,200.000"
02/2020,"28,400.000"
03/2020,"25,600.000"
04/2020,"45,200.000"
05/2020,"54,400.000"
06/2020,"43,200.000"
07/2020,"61,200.000"
08/2020,"60,800.000"
09/2020,"9,200.000"
10/2020,"70,800.000"
11/2020,"37,200.000"
12/2020,"40,800.000"
01/2021,"37,600.000"
02/2021,"28,400.000"
03/2021,"57,200.000"
04/2021,"51,200.000"
05/2021,"54,000.000"
06/2021,"46,000.000"
07/2021,"74,400.000"
08/2021,"67,200.000"
09/2021,"28,200.000"
10/2021,"56,600.000"
11/2021,"32,800.000"
12/2021,"48,400.000"
01/2022,"53,600.000"
02/2022,"42,400.000"
03/2022,"57,200.000"
04/2022,"9,200.000"
