date,quantity
10/1/15,"25,000.00"
11/1/15,"14,500.00"
12/1/15,"33,500.00"
1/1/16,"42,000.00"
2/1/16,"24,500.00"
3/1/16,"14,500.00"
4/1/16,"31,300.00"
5/1/16,"33,000.00"
6/1/16,"19,500.00"
7/1/16,"34,000.00"
8/1/16,"26,500.00"
9/1/16,"24,500.00"
10/1/16,"28,333.33"
11/1/16,"60,400.00"
12/1/16,"33,000.00"
1/1/17,"19,000.00"
2/1/17,"26,500.00"
3/1/17,"42,000.00"
4/1/17,"13,500.00"
5/1/17,"38,500.00"
6/1/17,"34,500.00"
7/1/17,"12,500.00"
8/1/17,"51,000.00"
9/1/17,"32,666.67"
10/1/17,"32,055.56"
11/1/17,"6,500.00"
12/1/17,"22,000.00"
1/1/18,"18,000.00"
2/1/18,"18,500.00"
3/1/18,"28,500.00"
4/1/18,"24,000.00"
5/1/18,"10,000.00"
6/1/18,"36,000.00"
7/1/18,"15,500.00"
8/1/18,"48,500.00"
9/1/18,"8,500.00"
10/1/18,"3,500.00"
11/1/18,"18,500.00"
12/1/18,"19,000.00"
1/1/19,"32,000.00"
2/1/19,"27,500.00"
3/1/19,"38,500.00"
4/1/19,"20,500.00"
5/1/19,"30,000.00"
6/1/19,"51,000.00"
7/1/19,"15,500.00"
8/1/19,"16,628.00"
9/1/19,"27,500.00"
10/1/19,"39,000.00"
11/1/19,"23,000.00"
12/1/19,"12,500.00"
1/1/20,"51,000.00"
2/1/20,"28,000.00"
3/1/20,"9,500.00"
4/1/20,"28,500.00"
5/1/20,"40,500.00"
6/1/20,"27,000.00"
7/1/20,"31,000.00"
8/1/20,"59,500.00"
9/1/20,"12,951.00"
10/1/20,"31,500.00"
11/1/20,"7,500.00"
12/1/20,"49,544.00"
1/1/21,"23,500.00"
2/1/21,"10,000.00"
3/1/21,"41,068.00"
4/1/21,"32,500.00"
5/1/21,"23,000.00"
6/1/21,"36,000.00"
7/1/21,"43,000.00"
8/1/21,"54,500.00"
9/1/21,"17,000.00"
10/1/21,"25,000.00"
11/1/21,"22,500.00"
12/1/21,"28,000.00"
1/1/22,"32,000.00"
2/1/22,"22,500.00"
3/1/22,"30,000.00"
4/1/22,"12,500.00"
